Date,netDailyChange,Portfolio Value
2012-11-12,0.0011768275820226738,164183.98384017916
2012-11-13,0.001196753936654901,164380.47166917557
2012-11-14,-0.004047449333730736,163715.15003863984
2012-11-15,-0.001667247071211497,163442.19643422496
2012-11-16,0.0025510388151646617,163859.14382136444
2012-11-19,0.01055846510049355,165589.24487279908
2012-11-20,0.0033318754626219258,166140.96761466487
2012-11-21,-0.0001795523560504808,166111.13661249314
2012-11-23,0.007803111838395846,167407.32038908347
2012-11-26,-0.00037462183347715286,167344.60595178182
2012-11-27,-0.0022559598402738675,166967.08324126815
2012-11-28,0.005942871187154627,167959.34710946592
2012-11-29,0.0023971600015028813,168361.97253823528
2012-11-30,0.0032206089159344327,168904.20060809623
2012-12-03,-0.0028407477917148137,168424.38637320744
2012-12-04,0.0008838011639328731,168573.24004191876
2012-12-05,-0.00043417899882042883,168500.04908132943
2012-12-06,0.0013232228918643493,168723.0122035541
2012-12-07,0.0031204080918920112,169249.49685612245
2012-12-10,0.002393774499879401,169654.64198581406
2012-12-11,0.008733604533711631,171136.3385362266
2012-12-12,-0.00047641395421647306,171054.8067964744
2012-12-13,-0.0007670427330983541,170923.60044995963
2012-12-14,-0.001545960932107743,170659.3592412888
2012-12-17,0.0051434899745309804,171537.14394460624
2012-12-18,-9.41238940946862e-05,171520.9982006363
2012-12-19,-0.006262911629445057,170446.77734631152
2012-12-20,0.003445324200055205,171034.0217531242
2012-12-21,-0.007867452491278648,169688.41971258918
2012-12-24,-0.00271263824683535,169228.11641523175
2012-12-26,-0.0032645739394802317,168675.65871655525
2012-12-27,-0.000838400394789727,168534.24097769588
2012-12-28,-0.008279404640830894,167138.87780080622
2012-12-31,0.01157701274422518,169073.84671916164
2013-01-02,0.01674245614124607,171904.55818248895
2013-01-03,-0.0047863620394666285,171081.760730793
2013-01-04,0.006530275320109106,172198.9717306141
2013-01-07,-0.001011528804534852,172024.78751059732
2013-01-08,-0.0004018121791921325,171955.66585585263
2013-01-09,0.002982970273009628,172468.6044953762
2013-01-10,0.008465089026637533,173928.5665867295
2013-01-11,-0.00016125039289506364,173900.5205370317
2013-01-14,0.0013969650412589529,174143.45348487867
2013-01-15,-0.004102341423812778,173429.05758196185
2013-01-16,0.0033300154747655463,174006.5790274838
2013-01-17,0.007455456333354452,175303.8774791396
2013-01-18,0.004095797756800261,176021.88670727704
2013-01-22,-0.0015412136648554336,175750.59937017015
2013-01-23,0.004818831100886471,176597.51182441457
2013-01-24,-0.0012411307716412346,176378.331218294
2013-01-25,0.0060551313231157365,177446.32517637277
2013-01-28,-0.004036368742103264,176730.08637602977
2013-01-29,0.009317016708562961,178376.68354370102
2013-01-30,-0.0016899757624571246,178075.23127192468
2013-01-31,-0.00010752670409165516,178056.08342922566
2013-02-01,0.004185298239857786,178801.30124179798
2013-02-04,-0.006177678149624752,177696.72434999206
2013-02-05,0.008941136415066005,179285.5350029157
2013-02-06,0.0070301615821707865,180545.94128333215
2013-02-07,-0.000689883153517849,180421.38568000475
2013-02-08,0.003042856441274635,180970.38205556484
2013-02-11,0.001082066052837303,181166.20396255617
2013-02-12,0.0027047587842777294,181656.21484413816
2013-02-13,0.00029750866155653274,181710.25914147985
2013-02-14,0.002572413373827931,182177.69304225713
2013-02-15,0.0018862131503204187,182521.31900256846
2013-02-19,0.009123350329144183,184186.52493836638
2013-02-20,-0.006956632526406366,182905.20696805438
2013-02-21,-0.0004081648286063725,182830.55149560104
2013-02-22,0.003955316951042394,183553.70427510003
2013-02-25,-0.012300763379101291,181295.85359145448
2013-02-26,0.007813927222269517,182712.48619711734
2013-02-27,0.008261267879461135,184221.92299051408
2013-02-28,0.0019203397572679303,184575.69167339313
2013-03-01,0.003253919141719407,185176.28604962528
2013-03-04,0.006076864042950932,186301.57716392746
2013-03-05,0.007010476242267349,187607.6399445321
2013-03-06,-0.003989254259827066,186859.2253677073
2013-03-07,0.0033989874171600977,187494.35752351242
2013-03-08,0.0030201327199125567,188060.61536746816
2013-03-11,0.0028002708382849077,188587.2360245116
2013-03-12,-0.00015209752454407223,188558.55237275167
2013-03-13,0.002288180706238046,188990.00841428718
2013-03-14,0.005093455737703673,189952.62065701358
2013-03-15,0.00010304392856419149,189972.19412128715
2013-03-18,-3.2534197027709364e-05,189966.01352849382
2013-03-19,0.003284841373554488,190590.02174930144
2013-03-20,0.007946257464576294,192104.49913230058
2013-03-21,-0.006480591916045955,190859.54826818773
2013-03-22,0.010189997001259766,192804.40649270237
2013-03-25,-0.0012504593189329007,192563.31242587225
2013-03-26,0.011991130032689104,194872.3641446962
2013-03-27,0.0030594961552710244,195468.5753935655
2013-03-28,0.001265952492502856,195716.02932379095
2013-04-01,-0.00269260743504774,195189.0428880757
2013-04-02,0.005505803002479911,196263.71530646004
2013-04-03,-0.008361600007765818,194622.6366230294
2013-04-04,0.0028432648287338167,195176.0003206151
2013-04-05,-0.005088991215161591,194182.75136957312
2013-04-08,-0.0033346097411170316,193535.22767529922
2013-04-09,0.00295792365034859,194107.6901024156
2013-04-10,0.009617268978688582,195974.47596896245
2013-04-11,0.0008666250779820815,196144.31236448154
2013-04-12,0.00335560934348798,196802.4960517238
2013-04-15,-0.011781416859130122,194483.88380682113
2013-04-16,0.020376388779114903,198446.76303454113
2013-04-17,-0.0038757886889170643,197677.62531501966
2013-04-18,-0.0035201892997232566,196981.76265359102
2013-04-19,0.014613234303540742,199860.3033047724
2013-04-22,0.0036404023695515327,200587.87522650236
2013-04-23,0.009837433727567194,202561.1451555966
2013-04-24,-0.012646100605693846,199999.5365351544
2013-04-25,0.004616239536951767,200922.78230308
2013-04-26,-0.0018612791754380347,200548.8089125082
2013-04-29,0.005211721564940712,201594.01346474068
2013-04-30,-0.0003544972026161368,201522.54895090326
2013-05-01,-0.009598602998108446,199588.21400835668
2013-05-02,0.0030074198559050472,200188.45956617003
2013-05-03,0.005485566286574643,201286.60663092753
2013-05-06,-0.006562881134348027,199965.58655767248
2013-05-07,0.007397163971082415,201444.76479001326
2013-05-08,0.0016739484780600741,201781.97294744666
2013-05-09,-0.006076906280850091,200555.76280868
2013-05-10,0.0052143057520366975,201601.52187629743
2013-05-13,0.0027792502471933006,202161.82295580668
2013-05-14,0.011041238417271879,204393.93984193206
2013-05-15,0.0066890896278517225,205761.14922492448
2013-05-16,-0.002173154532990453,205313.998450773
2013-05-17,0.003127616408621763,205956.1418812474
2013-05-20,-0.00430225469586146,205070.06610269728
2013-05-21,0.004271410925595582,205946.00462356096
2013-05-22,-0.001046888690981486,205730.40208036773
2013-05-23,-0.004433024773616602,204818.39411125935
2013-05-24,-0.002684156471414938,204268.6294932408
2013-05-28,0.005654087523843937,205423.5822027712
2013-05-29,-0.01576896808177854,202184.2642917711
2013-05-30,0.0029326694180360486,202777.2039004677
2013-05-31,-0.01664792223992174,199401.38477790396
2013-06-03,0.004827197286866659,200363.93460150133
2013-06-04,-0.0012285049587670383,200117.7865142853
2013-06-05,-0.010596518112705778,197997.2347648121
2013-06-06,0.004269740004582751,198842.6314788842
2013-06-07,0.012584544586875357,201344.97544050185
2013-06-10,-0.0026109064200550607,200819.28255147842
2013-06-11,-0.0037740975415379244,200061.37099090748
2013-06-12,-0.006880061123321501,198684.93653007454
2013-06-13,0.01374868714282768,201416.59356241912
2013-06-14,0.0008660997087571954,201591.0404154424
2013-06-17,0.008145321686918134,203233.0642888267
2013-06-18,0.00510027529477643,204269.6088657007
2013-06-19,-0.016077001658266053,200985.56602523345
2013-06-20,-0.025643184879627055,195831.6559975119
2013-06-21,0.007668322311466203,197333.356254489
2013-06-24,0.0041637275154800795,198154.99857964783
2013-06-25,0.002750462092754829,198700.01639173104
2013-06-26,0.012811756869554962,201245.71269171848
2013-06-27,0.0040097331595403685,202052.65429911378
2013-06-28,-0.004155039213779198,201213.1175972528
2013-07-01,0.010461153352375834,203318.0388769473
2013-07-02,0.001168670366183637,203555.65064389337
2013-07-03,0.00011625687340884383,203579.31538740193
2013-07-05,0.008303882150586849,205269.81403067606
2013-07-08,0.00681336385398813,206668.39196190753
2013-07-09,0.004538748833941034,207606.4078849371
2013-07-10,0.0023574737740004884,208095.83454684028
2013-07-11,0.009311568456756122,210033.533155789
2013-07-12,0.0012693666958842227,210300.14272779584
2013-07-15,0.0034182747432301365,211019.00639417997
2013-07-16,-0.0012255366910923799,210760.39485932604
2013-07-17,-0.002738523587781276,210183.22254663368
2013-07-18,0.003654169751166416,210951.26772066628
2013-07-19,0.012384909892894267,213563.88016317855
2013-07-22,0.0014585120394137077,213875.36565358046
2013-07-23,-0.0009747645549170587,213666.8875279714
2013-07-24,-0.0005656557989412115,213546.0256139995
2013-07-25,0.001961713899104182,213964.94182054492
2013-07-26,0.0016751377423768704,214323.362570134
2013-07-29,0.0026871354316833134,214899.2784715337
2013-07-30,-0.002153531933613753,214436.4860128347
2013-07-31,0.0012038120669830771,214694.62724229842
2013-08-01,0.0028313854452243488,215302.51048504014
2013-08-02,0.0033761713866560807,216029.40866041495
2013-08-05,-0.0015058483296155206,215704.10113623584
2013-08-06,0.001768905663286408,216085.66134232984
2013-08-07,-0.004232100448323933,215171.1651180866
2013-08-08,-0.00017206013230004416,215134.14273894922
2013-08-09,-0.004853952496519932,214089.89182971482
2013-08-12,-0.0009135392428617158,213894.31231202834
2013-08-13,0.009183061309442768,215858.5168957308
2013-08-14,-0.013882148272527756,212861.93695829634
2013-08-15,-0.011855095629083072,210338.43833986387
2013-08-16,-0.0072203913291459185,208819.71250348864
2013-08-19,0.004240419494689986,209705.195683264
2013-08-20,-0.003795138258527708,208909.3354721144
2013-08-21,-0.009355396480914761,206954.90581020835
2013-08-22,-0.0001561459105528493,206922.59064799725
2013-08-23,0.008107025644795993,208600.11739686818
2013-08-26,-0.011782650463379223,206142.255126961
2013-08-27,-0.012309994455517666,203604.6451093002
2013-08-28,-0.0023476239164074166,203126.65797494998
2013-08-29,0.0007842273951489511,203285.95546481898
2013-08-30,-0.0003657529534892016,203211.60302620486
2013-09-03,-0.0001603985076230486,203179.00818834777
2013-09-04,0.003986373586162687,203988.95561985252
2013-09-05,-0.002159290731432102,203548.48415866806
